,name,in_degree,out_degree,total_degree
160,COSCO SHIPPING INTERNATIONAL SINGAPORE COMPANY LIMITED,0,0,0
161,COSMOSTEEL HOLDINGS LIMITED,0,0,0
162,COURAGE INVESTMENT GROUP LIMITED,0,0,0
163,CPH LIMITED,0,0,0
164,CREATIVE TECHNOLOGY LIMITED,0,1,1
165,CROMWELL EREIT MANAGEMENT PRIVATE LIMITED,0,0,0
166,CSC HOLDINGS LIMITED,0,0,0
167,CSE GLOBAL LIMITED,0,0,0
168,CWX GLOBAL LIMITED,0,0,0
169,DAIRY FARM INT'L HOLDINGS LIMITED,1,0,1
170,DARCO WATER TECHNOLOGIES LIMITED,0,0,0
171,DASIN RETAIL TRUST,0,0,0
172,DATAPULSE TECHNOLOGY LIMITED,0,0,0
173,DBS GROUP HOLDINGS LIMITED,1,4,5
174,DEBAO PROPERTY DEVELOPMENT LIMITED,0,0,0
175,DEL MONTE PACIFIC LIMITED,0,0,0
176,DELFI LIMITED,0,0,0
177,DESIGN STUDIO GROUP LIMITED,0,0,0
178,DISA LIMITED,0,0,0
179,DLF HOLDINGS LIMITED,0,0,0
180,DRAGON GROUP INTL LIMITED,1,0,1
181,DUKANG DISTILLERS HOLDINGS LIMITED,0,0,0
182,DUTECH HOLDINGS LIMITED,0,0,0
183,DUTY FREE INTERNATIONAL LIMITED,0,0,0
184,DYNA-MAC HOLDINGS LIMITED,2,0,2
185,DYNAMIC COLOURS LIMITED,1,0,1
186,EAGLE HOSPITALITY REIT MANAGEMENT PRIVATE LIMITED,0,0,0
187,EC WORLD ASSET MANAGEMENT PRIVATE LIMITED,1,1,2
188,ECOWISE HOLDINGS LIMITED,0,0,0
189,EDITION LIMITED,0,0,0
190,EINDEC CORPORATION LIMITED,0,0,0
191,ELEC & ELTEK INTERNATIONAL COMPANY LIMITED,0,0,0
192,ELLIPSIZ LIMITED,0,1,1
193,EMAS OFFSHORE LIMITED,0,0,0
194,EMERGING TOWNS & CITIES SINGAPORE LIMITED,0,0,0
195,ENECO ENERGY LIMITED,0,0,0
196,ENGRO CORPORATION LIMITED,0,0,0
197,ENVICTUS INTERNATIONAL HOLDINGS LIMITED,0,1,1
198,ENVIRO-HUB HOLDINGS LIMITED,0,0,0
199,EPICENTRE HOLDINGS LIMITED,0,0,0
200,ES GROUP HOLDINGS LIMITED,0,0,0
201,ESR FUNDS MANAGEMENT SINGAPORE LIMITED,1,1,2
202,EUROSPORTS GLOBAL LIMITED,0,0,0
203,EXCELPOINT TECHNOLOGY LIMITED,0,0,0
204,EZION HOLDINGS LIMITED,0,3,3
205,EZRA HOLDINGS LIMITED,0,0,0
206,F J BENJAMIN HOLDINGS LIMITED,1,0,1
207,FABCHEM CHINA LIMITED,0,0,0
208,FALCON ENERGY GROUP LIMITED,0,1,1
209,FAR EAST GROUP LIMITED,0,0,0
210,FAR EAST ORCHARD LIMITED,0,0,0
211,FEDERAL INTERNATIONAL (2000) LIMITED,0,0,0
212,FEO HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,1,1,2
213,FIGTREE HOLDINGS LIMITED,0,0,0
214,FIRST RESOURCES LIMITED,0,0,0
215,FIRST SPONSOR GROUP LIMITED,1,0,1
216,FOOD EMPIRE HOLDINGS LIMITED,0,0,0
217,FORISE INTERNATIONAL LIMITED,0,0,0
