STOCK NAME,STANDARDISED STOCK NAME,CODE,ANNUAL_REPORT_2018,INVESTMENT_CHANNEL,DATA AVAILIABITY,SECTOR
CHEMICAL INDUSTRIES (FAR EAST) LIMITED.,CHEMICAL INDUSTRIES (FAR EAST) LIMITED,C05,https://links.sgx.com/1.0.0/corporate-announcements/7MWTU7TFI58RNX6X/CIL%20Annual%20Report%20FY2018.pdf,STOCKS,Yes,Materials
CHENG MEI MATERIALS TECHNOLOGY CORPORATION,CHENG MEI MATERIALS TECHNOLOGY CORPORATION,,https://links.sgx.com/1.0.0/corporate-announcements/M1Y9BW12RL455YNL/107Q4%20consolidated%20financial%20statement.pdf,ADR,No,
CHEUNG WOH TECHNOLOGIES LTD,CHEUNG WOH TECHNOLOGIES LIMITED,C50,https://links.sgx.com/1.0.0/corporate-announcements/FDZ5GL4KSUNWYJVB/Corrigendum%20to%202018%20Annual%20Report_final.pdf,STOCKS,Yes,Industrials
CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD,CHINA AVIATION OIL SINGAPORE CORPORATION LIMITED,G92,https://links.sgx.com/1.0.0/corporate-announcements/FDB9A2KH9PYH7Z4O/CAO_Annual%20Report%202018.pdf,STOCKS,Yes,Energy
CHINA EASTERN AIRLINE,CHINA EASTERN AIRLINE,,,ADR,No,
CHINA ENVIRONMENT LTD.,CHINA ENVIRONMENT LIMITED,5OU,,STOCKS,No,Consumer Discretionary
CHINA ENVIRONMENTAL RESOURCES GROUP LIMITED,CHINA ENVIRONMENTAL RESOURCES GROUP LIMITED,RS1,https://links.sgx.com/1.0.0/corporate-announcements/236PVKDRREH974MM/LTN20181221870.pdf,STOCKS,No,Consumer Discretionary
CHINA ESSENCE GROUP LTD.,CHINA ESSENCE GROUP LIMITED,G54,,STOCKS,No,Consumer Staples
CHINA EVERBRIGHT WATER LIMITED,CHINA EVERBRIGHT WATER LIMITED,U9E,https://links.sgx.com/1.0.0/corporate-announcements/1W0XNH3KQEF4CJRJ/CEWL_%20Letter%20to%20Shareholders.pdf,STOCKS,Yes,Utilities
CHINA FISHERY GROUP LIMITED,CHINA FISHERY GROUP LIMITED,B0Z,,STOCKS,No,Consumer Staples
CHINA GAOXIAN FIBRE FABRIC HOLDINGS LTD.,CHINA GAOXIAN FIBRE FABRIC HOLDINGS LIMITED,AZZ,,STOCKS,No,Consumer Discretionary
CHINA GREAT LAND HOLDINGS LTD.,CHINA GREAT LAND HOLDINGS LIMITED,D50,,STOCKS,No,Industrials
CHINA HAIDA LTD.,CHINA HAIDA LIMITED,C92,https://links.sgx.com/1.0.0/corporate-announcements/879F3IURPDI7TD33/China_Haida-Annual_Report_2018.pdf,STOCKS,Yes,Industrials
CHINA HONGXING SPORTS LIMITED,CHINA HONGXING SPORTS LIMITED,BR9,,STOCKS,No,Consumer Discretionary
CHINA INTERNATIONAL HOLDINGS LIMITED,CHINA INTERNATIONAL HOLDINGS LIMITED,BEH,https://links.sgx.com/FileOpen/CIH%20AR%20FY2018.ashx?App=Announcement&FileID=551292,STOCKS,Yes,Utilities
CHINA JISHAN HOLDINGS LIMITED,CHINA JISHAN HOLDINGS LIMITED,J18,https://links.sgx.com/1.0.0/corporate-announcements/3X9G4GFNQW4O4N2Q/China%20Jishan%20AR18_lowres.pdf,STOCKS,Yes,Consumer Discretionary
CHINA KANGDA FOOD COMPANY LTD,CHINA KANGDA FOOD COMPANY LIMITED,P74,https://links.sgx.com/1.0.0/corporate-announcements/B4N9W0UNQJT8ZNOX/China%20Kangda%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Staples
CHINA KUNDA TECHNOLOGY HOLDINGS LIMITED,CHINA KUNDA TECHNOLOGY HOLDINGS LIMITED,GU5,https://links.sgx.com/1.0.0/corporate-announcements/DB8DIQ6PBNFVS99F/China%20Kunda%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
CHINA MINING INTERNATIONAL LTD,CHINA MINING INTERNATIONAL LIMITED,BHD,https://links.sgx.com/1.0.0/corporate-announcements/WPXKFHPZUMYKO8MF/20190404_CMI_Ann_AnnRpt_att.pdf,STOCKS,Yes,Real Estate
CHINA PAPER HOLDINGS LIMITED,CHINA PAPER HOLDINGS LIMITED,C71,,STOCKS,No,Materials
CHINA REAL ESTATE GRP LTD.,CHINA REAL ESTATE GRP LIMITED,5RA,https://links.sgx.com/1.0.0/corporate-announcements/1ZMJCKD8AY5R36WA/China%20Real%20Estate_AR2018.pdf,STOCKS,Yes,Real Estate
"CHINA SKY CHEMICAL FIBRE CO., LTD.",CHINA SKY CHEMICAL FIBRE COMPANY LIMITED,E90,,STOCKS,No,Consumer Discretionary
CHINA SOUTHERN AIR,CHINA SOUTHERN AIR,,,ADR,No,
CHINA SPORTS INTERNATIONAL LIMITED,CHINA SPORTS INTERNATIONAL LIMITED,FQ8,,STOCKS,No,Consumer Discretionary
CHINA STAR FOOD GROUP LIMITED,CHINA STAR FOOD GROUP LIMITED,42W,https://links.sgx.com/1.0.0/corporate-announcements/W7RS2D2NJ5NGCF2A/China%20Star%20Food%20AR2018%2013072018.pdf,STOCKS,Yes,Consumer Staples
CHINA SUNSINE CHEMICAL HOLDINGS LTD.,CHINA SUNSINE CHEMICAL HOLDINGS LIMITED,QES,https://links.sgx.com/1.0.0/corporate-announcements/TWCNMY3IUVY1UVN4/CSCH%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Materials
CHINA TAISAN TECHNOLOGY GROUP HOLDINGS LIMITED,CHINA TAISAN TECHNOLOGY GROUP HOLDINGS LIMITED,AZW,,STOCKS,No,Consumer Discretionary
CHINA TELECOM CORP LTD,CHINA TELECOM CORP LIMITED,,,ADR,No,
CHINA UNICOM HK LTD,CHINA UNICOM HK LIMITED,,,ADR,No,
CHINA YUANBANG PROP HLDGS LTD,CHINA YUANBANG PROP HOLDINGS LIMITED,BCD,https://links.sgx.com/1.0.0/corporate-announcements/0J5DBUEMFAGVUSFP/China_Yuanbang-Annual_Report_2018.pdf,STOCKS,Yes,Real Estate
CHINAMOBILE LTD,CHINAMOBILE LIMITED,,,ADR,No,
CHINESE GLOBAL INVESTORS GROUP LTD.,CHINESE GLOBAL INVESTORS GROUP LIMITED,5CJ,https://links.sgx.com/1.0.0/corporate-announcements/URGAMPWU8ZBKOWV9/CGI%20Q8091_AR%202018_Combined%20LR%20v3.pdf,STOCKS,Yes,Industrials
CHIP ENG SENG CORPORATION LTD.,CHIP ENG SENG CORPORATION LIMITED,C29,https://links.sgx.com/1.0.0/corporate-announcements/AMAOC1G8BVC6Y5CA/Chip_Eng_Seng-AR2018.pdf,STOCKS,Yes,Industrials
CHOO CHIANG HOLDINGS LTD.,CHOO CHIANG HOLDINGS LIMITED,42E,https://links.sgx.com/1.0.0/corporate-announcements/0LE0WOWZ6F0GJCS6/Choo%20Chiang%20Holdings%20Ltd.%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Discretionary
CHUAN HUP HOLDINGS LIMITED,CHUAN HUP HOLDINGS LIMITED,C33,https://links.sgx.com/1.0.0/corporate-announcements/BXGWR5WDCB0SZG74/CH.AR2018.pdf,STOCKS,Yes,Information Technology
CITIC ENVIROTECH LTD.,CITIC ENVIROTECH LIMITED,CEE,https://links.sgx.com/1.0.0/corporate-announcements/8YJZ442SDX2XBXHK/Citic%20Envirotech%20Limited%20-%20AR%202018.pdf,STOCKS,Yes,Industrials
CITICODE LTD.,CITICODE LIMITED,5FH,https://links.sgx.com/1.0.0/corporate-announcements/9WL1RWBN67DUVZLP/Citicode-AR2018.pdf,STOCKS,Yes,Industrials
CITY DEVELOPMENTS LIMITED,CITY DEVELOPMENTS LIMITED,C09,https://links.sgx.com/1.0.0/corporate-announcements/1O44BONBTWF4W3II/CDL_AR%202018.pdf,STOCKS,Yes,Real Estate
CIVMEC LIMITED,CIVMEC LIMITED,P9D,https://links.sgx.com/1.0.0/corporate-announcements/GT2ETBLU4JQWRL8H/Consolidated%20Financial%20Report_28Aug2018.pdf,STOCKS,Yes,Industrials
CLEARBRIDGE HEALTH LIMITED,CLEARBRIDGE HEALTH LIMITED,1H3,https://links.sgx.com/1.0.0/corporate-announcements/2YKOR11P2LSPAQAJ/Clearbridge%20Health_Annual%20Report%202018.pdf,STOCKS,Yes,Health Care
CNA GROUP LTD.,CNA GROUP LIMITED,5GC,,STOCKS,No,Industrials
CNMC GOLDMINE HOLDINGS LIMITED,CNMC GOLDMINE HOLDINGS LIMITED,5TP,https://links.sgx.com/1.0.0/corporate-announcements/FSMFME73BTMSVPEN/CNMC_AR2018.pdf,STOCKS,Yes,Materials
COLEX HOLDINGS LIMITED,COLEX HOLDINGS LIMITED,567,https://links.sgx.com/1.0.0/corporate-announcements/40I7965TCL62DD7Y/Colex%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
COMBINE WILL INTL HLDGS LTD,COMBINE WILL INTL HOLDINGS LIMITED,N0Z,https://links.sgx.com/1.0.0/corporate-announcements/H1UDHTOMPBH8U3CB/Combine%20Will%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Discretionary
COMFORTDELGRO CORPORATION LIMITED,COMFORTDELGRO CORPORATION LIMITED,C52,https://links.sgx.com/1.0.0/corporate-announcements/KD9HNOUSMA9QRBXH/ComfortDelGro%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
CORDLIFE GROUP LIMITED,CORDLIFE GROUP LIMITED,P8A,https://links.sgx.com/1.0.0/corporate-announcements/EVB9Q0UXQZ9IOKUH/Cordlife%20Group%20Limited_Annual%20Report%202018.pdf,STOCKS,Yes,Health Care
CORTINA HOLDINGS LIMITED,CORTINA HOLDINGS LIMITED,C41,https://links.sgx.com/1.0.0/corporate-announcements/4AWYW2Z54PDMAC3X/AR2018.pdf,STOCKS,Yes,Consumer Discretionary
"COSCO SHIPPING INTERNATIONAL (SINGAPORE) CO., LTD.",COSCO SHIPPING INTERNATIONAL SINGAPORE COMPANY LIMITED,F83,https://links.sgx.com/FileOpen/COSCO-Annual%20Report%202018.ashx?App=Announcement&FileID=550516,STOCKS,Yes,Industrials
COSMOSTEEL HOLDINGS LIMITED,COSMOSTEEL HOLDINGS LIMITED,B9S,https://links.sgx.com/1.0.0/corporate-announcements/9540D3W6379X3XRT/CosmoSteel%20AR%202018%20Full%20Report.pdf,STOCKS,Yes,Energy
COURAGE INVESTMENT GROUP LIMITED,COURAGE INVESTMENT GROUP LIMITED,CIN,http://couragemarine.listedcompany.com/newsroom/20190429_181839_CIN_YGROKUW1UVRC8OLK.1.pdf,STOCKS,Yes,Industrials
CPH LTD.,CPH LIMITED,539,https://links.sgx.com/1.0.0/corporate-announcements/YLVW331MZYRADL2B/CPHAnnualReportFY18.pdf,STOCKS,Yes,Information Technology
CREATIVE TECHNOLOGY LTD.,CREATIVE TECHNOLOGY LIMITED,C76,https://links.sgx.com/1.0.0/corporate-announcements/F8300KYHD8T2BWAE/CreativeAnnualReport2018.pdf,STOCKS,Yes,Information Technology
CROMWELL EREIT MANAGEMENT PTE. LTD.,CROMWELL EREIT MANAGEMENT PRIVATE LIMITED,,https://links.sgx.com/1.0.0/corporate-announcements/KSL5F7L4YCLI260F/Cromwell%20EREIT%20AR2018%20Final%2011Apr19.pdf,REIT,Yes,Real Estate
CSC HOLDINGS LIMITED,CSC HOLDINGS LIMITED,C06,https://links.sgx.com/1.0.0/corporate-announcements/ZAHD4M319WJS93TV/CSC%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
CSE GLOBAL LIMITED,CSE GLOBAL LIMITED,544,https://links.sgx.com/1.0.0/corporate-announcements/F3H6WNLWGE0V5AI6/CSE_Global_Ltd_-_Annual_Report_2018.pdf,STOCKS,Yes,Information Technology
CWX GLOBAL LIMITED,CWX GLOBAL LIMITED,594,https://links.sgx.com/1.0.0/corporate-announcements/QCL1I0DWTQJFF6X2/CWXGlobal-AR2018.pdf,STOCKS,Yes,Energy
DAIRY FARM INT'L HOLDINGS LTD,DAIRY FARM INT'L HOLDINGS LIMITED,D01,https://links.sgx.com/1.0.0/corporate-announcements/A3LJAXWUSAZOBRD7/DFIH%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Staples
DARCO WATER TECHNOLOGIES LIMITED,DARCO WATER TECHNOLOGIES LIMITED,BLR,https://links.sgx.com/1.0.0/corporate-announcements/H2A1XHC818KFV4ZA/DWTL%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
DASIN RETAIL TRUST,DASIN RETAIL TRUST,CEDU,https://links.sgx.com/FileOpen/DASINRT-Dasin%20Retail%20Trust_Annual%20Report%202018.ashx?App=Announcement&FileID=550050,REIT,Yes,Real Estate
DATAPULSE TECHNOLOGY LIMITED,DATAPULSE TECHNOLOGY LIMITED,BKW,https://links.sgx.com/1.0.0/corporate-announcements/QG65GWA6XBPI56F6/Datapulse%20Technology%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Information Technology
DBS GROUP HOLDINGS LTD,DBS GROUP HOLDINGS LIMITED,D05,https://links.sgx.com/1.0.0/corporate-announcements/A58BSQIU9S0YV0MR/DBS%20AR18_Final_20190327.pdf,STOCKS,Yes,Financials
DEBAO PROPERTY DEVELOPMENT LTD.,DEBAO PROPERTY DEVELOPMENT LIMITED,BTF,https://links.sgx.com/FileOpen/Debao_Property_Annual_Report_FY2018.ashx?App=Announcement&FileID=581912,STOCKS,Yes,Real Estate
DEL MONTE PACIFIC LIMITED,DEL MONTE PACIFIC LIMITED,D03,https://links.sgx.com/1.0.0/corporate-announcements/FYOD75F0MTNF5OAU/DMPL%20AR2018_Final.pdf,STOCKS,Yes,Consumer Staples
DELFI LIMITED,DELFI LIMITED,P34,https://links.sgx.com/1.0.0/corporate-announcements/RBL5RXE1X31KJOLV/Delfi%20Limited_Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Staples
DESIGN STUDIO GROUP LTD.,DESIGN STUDIO GROUP LIMITED,D11,https://links.sgx.com/1.0.0/corporate-announcements/58ZFXD3B913OAIMU/DSG%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
DISA LIMITED,DISA LIMITED,532,https://links.sgx.com/1.0.0/corporate-announcements/T7KE52YAI8PU23FB/Disa_Annual%20Report%202018.pdf,STOCKS,Yes,Information Technology
DLF HOLDINGS LIMITED,DLF HOLDINGS LIMITED,KUX,https://links.sgx.com/1.0.0/corporate-announcements/GLDZ76R3SGRTJA1X/DLF_Annual_Report.pdf,STOCKS,Yes,Industrials
DRAGON GROUP INTL LIMITED,DRAGON GROUP INTL LIMITED,MT1,https://links.sgx.com/1.0.0/corporate-announcements/MTSXP7WABGSON8QH/DGI%20AR2018.pdf,STOCKS,Yes,Information Technology
DUKANG DISTILLERS HLDGS LTD,DUKANG DISTILLERS HOLDINGS LIMITED,BKV,https://links.sgx.com/1.0.0/corporate-announcements/VYVNARFTLFASPKHC/Dukang%20-%20Annual%20Report%20FY2018.pdf,STOCKS,Yes,Consumer Staples
DUTECH HOLDINGS LIMITED,DUTECH HOLDINGS LIMITED,CZ4,https://links.sgx.com/1.0.0/corporate-announcements/L1828IDO2PR00M5T/Dutech-Annual_Report_2018.pdf,STOCKS,Yes,Industrials
DUTY FREE INTERNATIONAL LIMITED,DUTY FREE INTERNATIONAL LIMITED,5SO,https://links.sgx.com/1.0.0/corporate-announcements/4J1TQHMFV3E87BR2/DFI%20-%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Discretionary
DYNA-MAC HOLDINGS LTD.,DYNA-MAC HOLDINGS LIMITED,NO4,https://links.sgx.com/1.0.0/corporate-announcements/2RMG1J71HP21TEYM/Dyna-Mac%20Annual%20Report%202018.pdf,STOCKS,Yes,Energy
DYNAMIC COLOURS LIMITED,DYNAMIC COLOURS LIMITED,D6U,https://links.sgx.com/1.0.0/corporate-announcements/UQ1CTOM3QZYGM7W5/Dynamic%20Colours%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Materials
EAGLE HOSPITALITY REIT MANAGEMENT PTE. LTD.,EAGLE HOSPITALITY REIT MANAGEMENT PRIVATE LIMITED,LIW,,REIT,No,Real Estate
EC WORLD ASSET MANAGEMENT PTE LTD,EC WORLD ASSET MANAGEMENT PRIVATE LIMITED,,https://links.sgx.com/1.0.0/corporate-announcements/QKN5SFVINKXQQ01K/EC%20World%20REIT%20Annual%20Report%202018.pdf,REIT,Yes,Real Estate
ECOWISE HOLDINGS LIMITED,ECOWISE HOLDINGS LIMITED,5CT,https://links.sgx.com/1.0.0/corporate-announcements/LUCK7RZPWLMPTYMG/Ecowise%20Holdings%20Limited%20Annual%20Report%202018_Final.pdf,STOCKS,Yes,Industrials
EDITION LTD.,EDITION LIMITED,5HG,https://links.sgx.com/1.0.0/corporate-announcements/5MWMWOTX9U3UW0JO/Edition_Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Staples
EINDEC CORPORATION LIMITED,EINDEC CORPORATION LIMITED,42Z,https://links.sgx.com/1.0.0/corporate-announcements/V73GKQRHI9JQAMQF/Eindec%20Corporation%20Limited-2018%20Annual%20Report.pdf,STOCKS,Yes,Industrials
ELEC & ELTEK INTERNATIONAL COMPANY LIMITED.,ELEC & ELTEK INTERNATIONAL COMPANY LIMITED,E16,https://links.sgx.com/1.0.0/corporate-announcements/E1JEK1QVFSABB0WO/EW_1511AR.pdf,STOCKS,Yes,Information Technology
ELLIPSIZ LTD,ELLIPSIZ LIMITED,BIX,https://links.sgx.com/1.0.0/corporate-announcements/KJ1EJWR8FXJ752KN/Ellipsiz%20Ltd_AR2018.pdf,STOCKS,Yes,Information Technology
EMAS OFFSHORE LIMITED,EMAS OFFSHORE LIMITED,UQ4,,STOCKS,No,Energy
EMERGING TOWNS & CITIES SINGAPORE LTD.,EMERGING TOWNS & CITIES SINGAPORE LIMITED,1C0,https://links.sgx.com/1.0.0/corporate-announcements/Q01ZR57YBP39R2LG/ETC%20Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
ENECO ENERGY LIMITED,ENECO ENERGY LIMITED,R14,https://links.sgx.com/1.0.0/corporate-announcements/MLE3ZX6G3G6KR7QT/Eneco_Energy_Limited_Annual_Report_2018.pdf,STOCKS,Yes,Industrials
ENGRO CORPORATION LIMITED,ENGRO CORPORATION LIMITED,S44,https://links.sgx.com/1.0.0/corporate-announcements/37XHRV0VY0ALFT8D/EnGro%20Corporation%20Limited%20AR%202018.pdf,STOCKS,Yes,Materials
ENVICTUS INTERNATIONAL HOLDINGS LIMITED,ENVICTUS INTERNATIONAL HOLDINGS LIMITED,BQD,https://links.sgx.com/1.0.0/corporate-announcements/LM7SZ4066DUWO1WP/Envictus%20AR2018.pdf,STOCKS,Yes,Consumer Staples
ENVIRO-HUB HOLDINGS LTD.,ENVIRO-HUB HOLDINGS LIMITED,L23,https://links.sgx.com/1.0.0/corporate-announcements/ECFP9RD7VBID8ADP/Enviro-Hub%20Annual%20Report%202018.pdf,STOCKS,Yes,Materials
EPICENTRE HOLDINGS LIMITED,EPICENTRE HOLDINGS LIMITED,5MQ,https://links.sgx.com/1.0.0/corporate-announcements/5NUJCPIX2KCKVXAD/Annual%20Report_FY2018.pdf,STOCKS,Yes,Consumer Discretionary
ES GROUP (HOLDINGS) LIMITED,ES GROUP HOLDINGS LIMITED,5RC,https://links.sgx.com/1.0.0/corporate-announcements/T7W8KKEZ9H7BZPWB/ESGroup%20AR18%20FINAL.pdf,STOCKS,Yes,Industrials
ESR FUNDS MANAGEMENT (S) LIMITED,ESR FUNDS MANAGEMENT SINGAPORE LIMITED,,https://links.sgx.com/1.0.0/corporate-announcements/Z08LLBHV0V0ZSYRC/ESR-REIT%20Annual%20Report%202018.pdf,REIT,Yes,Real Estate
EUROSPORTS GLOBAL LIMITED,EUROSPORTS GLOBAL LIMITED,5G1,https://links.sgx.com/1.0.0/corporate-announcements/649ASGO8WUJYYANE/ESG-AnnualReport2018-ForWeb_compressed.pdf,STOCKS,Yes,Consumer Discretionary
EXCELPOINT TECHNOLOGY LTD.,EXCELPOINT TECHNOLOGY LIMITED,BDF,https://links.sgx.com/1.0.0/corporate-announcements/ZOYQ94C3V8ACS52M/Excelpoint_AR18.pdf,STOCKS,Yes,Information Technology
EZION HOLDINGS LIMITED,EZION HOLDINGS LIMITED,5ME,https://links.sgx.com/1.0.0/corporate-announcements/7DZP4ZQ0G4326DEW/Ezion_Annual%20Report%202018.pdf,STOCKS,Yes,Energy
EZRA HOLDINGS LIMITED,EZRA HOLDINGS LIMITED,5DN,,STOCKS,No,Energy
F J BENJAMIN HOLDINGS LTD,F J BENJAMIN HOLDINGS LIMITED,F10,https://links.sgx.com/1.0.0/corporate-announcements/OLXXNG0N8XKKT2LE/FJ%20Benjamin%20AR2018.pdf,STOCKS,Yes,Consumer Discretionary
FABCHEM CHINA LIMITED,FABCHEM CHINA LIMITED,BFT,https://links.sgx.com/1.0.0/corporate-announcements/JWYPCETBFO0KPZKV/Fabchem-Annual-Report-2018.pdf,STOCKS,Yes,Materials
FALCON ENERGY GROUP LIMITED,FALCON ENERGY GROUP LIMITED,5FL,https://links.sgx.com/1.0.0/corporate-announcements/UAC5WG1MRQ7XR1AB/FEG_AR%20FY30Jun18.pdf,STOCKS,Yes,Energy
FAR EAST GROUP LIMITED,FAR EAST GROUP LIMITED,5TJ,https://links.sgx.com/1.0.0/corporate-announcements/LWOB13JH64YS2B3F/Far%20East%20Group%20Limited_Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
FAR EAST ORCHARD LIMITED,FAR EAST ORCHARD LIMITED,O10,https://links.sgx.com/1.0.0/corporate-announcements/TVE6W36XUOD5ST0W/FarEastOrchard-Annual_Report_2018.pdf,STOCKS,Yes,Real Estate
FEDERAL INTERNATIONAL (2000) LTD,FEDERAL INTERNATIONAL (2000) LIMITED,BDU,https://links.sgx.com/1.0.0/corporate-announcements/E1BAZK1JV87OZT83/Federal%20-%20Annual%20Report%202018%20-%2015%20April%202019.pdf,STOCKS,Yes,Industrials
FEO HOSPITALITY ASSET MANAGEMENT PTE. LTD.,FEO HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,Q5T,https://links.sgx.com/1.0.0/corporate-announcements/BEKVW08ZZGP5JA5M/FEHT_Annual%20Report%20for%20FY2018.pdf,REIT,Yes,Real Estate
FIGTREE HOLDINGS LIMITED,FIGTREE HOLDINGS LIMITED,5F4,https://links.sgx.com/1.0.0/corporate-announcements/YQ625BS94N9WAU0N/FHL_AR_FY2018.pdf,STOCKS,Yes,Industrials
FIRST RESOURCES LIMITED,FIRST RESOURCES LIMITED,EB5,https://links.sgx.com/1.0.0/corporate-announcements/5PC4LDIUC1LD1MYU/First_Resources_Limited_-_Annual_Report_2018.pdf,STOCKS,Yes,Consumer Staples
FIRST SPONSOR GROUP LIMITED,FIRST SPONSOR GROUP LIMITED,ADN,https://links.sgx.com/1.0.0/corporate-announcements/R2HFAHMVAED14R8W/First_Sponsor_Group_Limited_Annual_Report_2018.pdf,STOCKS,Yes,Real Estate
FOOD EMPIRE HOLDINGS LIMITED,FOOD EMPIRE HOLDINGS LIMITED,F03,https://links.sgx.com/1.0.0/corporate-announcements/X2VPCUQ2D8YN2NR6/FoodEmpire%20Annual%20Report%202018.pdf,STOCKS,Yes,Consumer Staples
FORISE INTERNATIONAL LIMITED,FORISE INTERNATIONAL LIMITED,I5H,https://links.sgx.com/1.0.0/corporate-announcements/73H5MRHIAI7SWC6P/Forise%20-%20Annual%20Report%202018_120419.pdf,STOCKS,Yes,Financials
FRAGRANCE GROUP LIMITED,FRAGRANCE GROUP LIMITED,F31,https://links.sgx.com/1.0.0/corporate-announcements/PQL7WZ6CN4XBZU8B/Fragrance%20Group%20Limited%20Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
FRASER AND NEAVE LIMITED.,FRASER AND NEAVE LIMITED,F99,https://links.sgx.com/1.0.0/corporate-announcements/1D9K8WVIC4U97S40/FN-AR2018.pdf,STOCKS,Yes,Consumer Staples
FRASERS CENTREPOINT ASSET MANAGEMENT LTD.,FRASERS CENTREPOINT ASSET MANAGEMENT LIMITED,J69U,https://links.sgx.com/1.0.0/corporate-announcements/HT80N6BGW4ZZR31S/FCT_AnnualReport_2018.pdf,REIT,Yes,Real Estate
FRASERS COMMERCIAL ASSET MANAGEMENT LTD.,FRASERS COMMERCIAL ASSET MANAGEMENT LIMITED,ND8U,https://links.sgx.com/1.0.0/corporate-announcements/MDE2SERXQGPLYJ90/FCOT%20AR2018.pdf,REIT,Yes,Real Estate
FRASERS HOSPITALITY ASSET MANAGEMENT PTE. LTD.,FRASERS HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,ACV,https://links.sgx.com/1.0.0/corporate-announcements/2ASPHXV3W23FUD9A/FHT%20-%20AR%202018.pdf,REIT,Yes,Real Estate
FRASERS LOGISTICS & INDUSTRIAL ASSET MANAGEMENT PTE. LTD.,FRASERS LOGISTICS & INDUSTRIAL ASSET MANAGEMENT PRIVATE LIMITED,BUOU,https://links.sgx.com/1.0.0/corporate-announcements/BW8KE0EZXL0AEXGS/FLT%20-%20AR%202018.pdf,REIT,Yes,Real Estate
FRASERS PROPERTY LIMITED,FRASERS PROPERTY LIMITED,TQ5,https://links.sgx.com/1.0.0/corporate-announcements/AXFRQMFT1E6C03ML/FPL_Annual%20Report%202018.pdf,STOCKS,Yes,Real Estate
FRENCKEN GROUP LIMITED,FRENCKEN GROUP LIMITED,E28,https://links.sgx.com/1.0.0/corporate-announcements/FJ5YOLL84N9FMK01/Frencken-AR2018.pdf,STOCKS,Yes,Industrials
FSL TRUST MANAGEMENT PTE. LTD.,FSL TRUST MANAGEMENT PRIVATE LIMITED,D8DU,https://links.sgx.com/1.0.0/corporate-announcements/AXX4YD0ZLSU2L3MX/First%20Ship%20Lease%20Trust_Annual%20Report%202018.pdf,BTRUST,Yes,Financials
FU YU CORPORATION LIMITED,FU YU CORPORATION LIMITED,F13,https://links.sgx.com/1.0.0/corporate-announcements/HYE2XJZGN0ZBSGI6/Fu%20Yu_AR%202018.pdf,STOCKS,Yes,Industrials
FUJI OFFSET PLATES MANUFACTURING LTD,FUJI OFFSET PLATES MANUFACTURING LIMITED,508,https://links.sgx.com/1.0.0/corporate-announcements/WE10PELINT8P7XTT/FOP%20-%20Annual%20Report%20FY2018.pdf,STOCKS,Yes,Industrials
"FUJIAN ZHENYUN PLASTICS INDUSTRY CO., LTD",FUJIAN ZHENYUN PLASTICS INDUSTRY COMPANY LIMITED,5KT,,STOCKS,No,Industrials
FULL APEX (HOLDINGS) LIMITED,FULL APEX HOLDINGS LIMITED,BTY,,STOCKS,No,Materials
FUXING CHINA GROUP LIMITED,FUXING CHINA GROUP LIMITED,AWK,https://links.sgx.com/1.0.0/corporate-announcements/7TMI2XRQH7FPV4HM/Fuxing%20-%20Annual%20Report%20FY2018.pdf,STOCKS,Yes,Consumer Discretionary
G. K. GOH HOLDINGS LIMITED,G K GOH HOLDINGS LIMITED,G41,https://links.sgx.com/1.0.0/corporate-announcements/OQ3TLRD7WRJ3S5DN/G.%20K.%20Goh%20Annual%20Report%202018.pdf,STOCKS,Yes,Industrials
GALLANT VENTURE LTD.,GALLANT VENTURE LIMITED,5IG,https://links.sgx.com/1.0.0/corporate-announcements/NMX2OEAF5PDTLOZT/GV_Annual_Report_2018.pdf,STOCKS,Yes,Consumer Discretionary
GCCP RESOURCES LIMITED,GCCP RESOURCES LIMITED,41T,https://links.sgx.com/1.0.0/corporate-announcements/8VEH7JNZQPRD1EVG/GCCP-Annual_Report_2018.pdf,STOCKS,Yes,Materials
